Temp,Ph,N,P,K,Target
25.98437452,6.512637715,98.03125095,27.03258876,61.40157863,0
25.685903500000002,5.86839198,120.17670220000001,22.78833064,46.9537427,0
24.13434248,6.444062624,136.5669729,28.61061632,42.56957179,0
20.69643239,6.7154026920000005,127.2960601,26.41423106,80.79050328,0
26.58955657,6.62494583,100.2945036,30.85428581,41.20663555,0
23.26120792,6.070851772,121.06112859999999,29.38947398,37.75481268,0
21.92724387,6.673775445,103.50627159999999,31.09403677,76.47750398,0
29.68413343,6.149955747999999,99.83855708,28.16308118,44.5001016,0
20.75167089,6.045765557,136.1311686,31.70307083,50.44826853,0
22.73354289,6.347624134,112.4970244,27.50076913,77.17498572,0
21.63701285,6.087026582000001,134.3641469,32.5055706,43.86667431,0
24.16394543,6.595556505,105.8043153,32.62145024,73.63419834,0
22.51960814,6.4047853020000005,140.560625,26.28203504,70.87274004,0
23.70067446,5.927384259,98.43226417,26.91337925,45.54276562,0
24.23871578,6.144706565,100.24140140000002,31.05407828,39.91665020000001,0
26.89901425,6.728708762,132.99264499999998,22.42937016,61.91757277,0
21.54026917,5.995013276,116.8221076,31.21524421,29.25870226,0
28.41822565,6.462892544,139.2660298,24.11029084,26.82463335,0
24.37879574,6.793530076000001,119.6401868,23.69905133,74.10571023,0
24.71755119,6.494814905,96.88680685,31.11601395,42.20303803,0
20.02838221,6.123526719,135.5543687,30.907563800000002,80.45065886,0
27.13980529,6.103598132,121.77343059999998,23.66475362,49.81306195,0
25.59465316,5.8725730160000005,146.1180456,30.60987301,66.81062065,0
29.10153508,6.013721122000001,125.1152074,21.98083605,29.06831822,0
22.25562304,6.01887875,118.9535203,25.8421586,66.52771352,0
25.9050264,5.8988189339999995,114.1706595,31.10269445,27.12355409,0
28.21283609,6.529453413,140.6357006,30.65582528,68.73581259,0
28.74477371,6.456727805,107.94488359999998,22.9831283,67.42091717,0
28.12005982,5.826245918,146.7442854,22.08006632,48.77039793,0
22.07495346,5.936875515,115.668508,25.751919,32.29595053,0
23.98205512,6.427216407,140.410474,22.39207556,49.12625596,0
21.89977721,6.549687185,99.22696615,26.97464895,58.93192392,0
27.36136967,6.721903134,130.8832057,26.40857027,48.55510382,0
27.93786431,6.127127903,139.8721274,25.76557149,34.94887213,0
